Order,PID,MS.SubClass,MS.Zoning,Lot.Frontage,Lot.Area,Street,Alley,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,BsmtFin.Type.2,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Gr.Liv.Area,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Fireplace.Qu,Garage.Type,Garage.Yr.Blt,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Pool.QC,Fence,Misc.Feature,Misc.Val,Mo.Sold,Yr.Sold,Sale.Type,Sale.Condition
984,923275140,20,1,0.0,8780,1,0,1,1,1,1,1,23,1,1,1,1,5,5,1985,1985,2,1,6,1,2,0.0,2,2,1,2,2,2,6,625.0,2,0.0,208.0,833.0,1,1,2,1,833,0,0,833,1.0,0.0,1,0,3,1,2,5,1,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,2009,1,1
1356,903425420,30,1,55.0,10267,1,0,2,1,1,2,1,14,6,1,1,1,6,7,1918,2000,2,1,12,7,2,0.0,2,4,4,2,4,3,5,210.0,6,606.0,0.0,816.0,1,1,2,1,838,0,0,838,1.0,0.0,1,0,2,1,3,5,1,0,0,4,1961.0,1,1,275,2,2,3,0,0,112,0,0,0,0,4,0,0,5,2008,1,1
178,902206040,50,3,50.0,5500,1,0,2,1,1,1,1,15,1,1,1,3,5,7,1929,2001,2,1,3,3,2,0.0,2,2,4,2,2,2,2,234.0,6,692.0,0.0,926.0,1,2,2,1,926,0,390,1316,1.0,0.0,1,0,3,1,2,6,1,0,0,4,1974.0,2,2,484,2,2,2,0,0,0,0,0,0,0,0,0,0,4,2010,1,1
577,533254050,20,1,110.0,15417,1,0,2,1,1,2,1,26,1,1,1,1,7,5,1981,1981,2,1,3,3,2,0.0,4,2,1,4,2,3,2,121.0,2,0.0,1619.0,1740.0,1,2,2,1,1740,0,0,1740,0.0,0.0,1,1,2,1,4,7,1,0,0,1,1981.0,3,2,540,2,2,2,228,20,218,0,0,0,0,0,0,0,6,2009,1,1
1386,905200090,90,1,60.0,12900,1,0,2,1,1,2,1,12,2,1,4,4,4,4,1969,1969,2,1,1,1,2,0.0,2,2,1,4,2,4,4,1198.0,2,0.0,0.0,1198.0,1,2,2,1,1258,0,0,1258,2.0,0.0,0,2,0,2,2,6,1,0,0,5,1969.0,2,2,400,3,2,2,120,0,0,0,0,0,0,0,0,0,1,2008,1,5
880,907410130,20,1,85.0,10200,1,0,2,1,1,2,1,20,1,1,1,1,8,5,2007,2007,2,1,2,2,3,180.0,4,2,2,4,2,4,4,1478.0,2,0.0,100.0,1578.0,1,1,2,1,1602,0,0,1602,1.0,0.0,2,0,3,1,4,7,1,1,4,1,2007.0,3,3,810,2,2,2,0,48,0,0,195,0,0,0,0,0,1,2009,1,1
1775,528376010,60,1,82.0,9044,1,0,1,1,1,2,1,9,1,1,1,2,8,5,1996,1997,2,1,2,2,3,526.0,4,4,2,4,2,2,4,1225.0,2,0.0,100.0,1325.0,1,1,2,1,1335,1203,0,2538,0.0,0.0,2,1,4,1,4,8,1,1,2,1,1996.0,3,3,933,2,2,2,198,92,0,0,0,0,0,0,0,0,5,2007,1,1
380,527355150,20,1,80.0,9600,1,0,2,1,1,2,1,4,3,1,1,1,8,5,1981,1981,1,4,3,3,2,0.0,4,2,2,4,2,2,6,1104.0,2,0.0,1420.0,2524.0,1,2,2,1,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,1,1,4,1,1981.0,1,2,542,2,2,2,474,120,0,0,0,0,0,1,0,0,7,2009,1,1
2802,907290080,20,1,70.0,9100,1,0,2,1,1,2,1,20,1,1,1,1,7,5,2004,2005,1,1,2,2,2,0.0,4,2,2,4,2,2,4,24.0,2,0.0,1836.0,1860.0,1,1,2,1,1836,0,0,1836,0.0,0.0,2,0,3,1,4,8,1,1,4,1,2004.0,1,2,484,2,2,2,120,33,0,0,0,0,0,0,0,0,10,2006,1,1
1596,923225200,160,3,41.0,2665,1,0,2,1,1,2,1,25,1,1,2,2,5,7,1976,1976,2,1,4,5,2,0.0,2,2,2,4,2,2,6,318.0,2,0.0,232.0,550.0,1,2,2,1,925,550,0,1475,0.0,0.0,2,0,4,1,2,6,1,1,2,1,1976.0,2,1,336,2,2,2,92,26,0,0,0,0,0,0,0,0,5,2008,1,1
1154,532377020,20,1,60.0,6360,1,0,2,1,1,2,1,12,1,1,1,1,5,5,1963,1963,1,1,3,6,2,0.0,2,2,1,4,4,2,6,489.0,2,0.0,375.0,864.0,1,2,2,1,864,0,0,864,0.0,0.0,1,0,3,1,2,5,1,0,0,1,1963.0,2,1,276,2,2,2,0,0,0,0,0,0,0,0,2,650,1,2008,3,4
1940,535327200,20,1,70.0,13300,1,0,2,1,1,2,1,1,1,1,1,1,5,7,1956,2000,1,1,3,3,2,0.0,2,2,1,4,2,2,5,377.0,2,0.0,551.0,928.0,1,2,2,1,928,0,0,928,0.0,0.0,1,0,2,1,2,4,1,0,0,1,1956.0,2,1,252,2,2,2,261,0,156,0,0,0,0,0,0,0,6,2007,1,1
2866,909282060,70,1,70.0,12320,1,0,1,2,1,2,1,21,1,1,1,2,7,7,1932,1990,2,1,3,3,2,0.0,2,2,4,2,2,2,2,0.0,2,0.0,637.0,637.0,1,1,2,1,959,650,0,1609,0.0,0.0,1,1,3,1,4,8,1,2,4,6,1963.0,2,3,579,2,2,2,0,0,0,0,104,0,0,2,0,0,5,2006,1,1
1978,902107050,90,3,60.0,7200,1,2,2,1,1,2,1,15,1,1,4,4,5,5,1980,1980,2,1,8,8,3,180.0,2,2,1,4,2,4,4,936.0,2,0.0,0.0,936.0,1,2,2,1,936,0,0,936,1.0,0.0,1,0,2,1,2,4,1,0,0,4,1980.0,2,2,672,2,2,2,49,0,0,0,0,0,0,0,0,0,8,2007,1,1
2352,527356060,60,1,85.0,11475,1,0,2,1,1,2,1,4,6,1,1,2,6,6,1975,1975,2,1,2,2,2,0.0,2,2,1,4,2,2,6,550.0,2,0.0,163.0,713.0,1,2,2,1,811,741,0,1552,1.0,0.0,2,1,3,1,2,6,1,1,2,1,1975.0,3,2,434,2,2,2,209,208,0,0,0,0,0,1,0,0,2,2006,1,1
1849,533236040,160,4,24.0,2645,1,1,2,1,1,2,1,10,1,1,3,2,8,5,1999,2000,2,1,8,8,3,456.0,4,2,2,4,2,2,2,0.0,2,0.0,776.0,776.0,1,1,2,1,764,677,0,1441,0.0,0.0,2,1,2,1,4,5,1,0,0,4,1999.0,2,2,492,2,2,2,206,0,0,0,0,0,0,0,0,0,11,2007,1,1
788,905402070,20,1,0.0,15635,1,0,1,1,1,3,1,19,1,1,1,1,4,5,1954,1954,2,1,2,2,2,0.0,2,2,1,0,0,0,0,0.0,0,0.0,0.0,0.0,1,2,2,1,1383,0,0,1383,0.0,0.0,1,0,2,1,2,6,2,0,0,1,1980.0,2,2,498,3,2,2,0,0,90,0,110,0,0,0,0,0,10,2009,1,1
1609,923426010,20,1,74.0,12395,1,0,2,1,1,1,1,23,1,1,1,1,5,6,1984,1984,2,1,6,1,2,0.0,2,2,1,2,2,2,6,647.0,2,0.0,217.0,864.0,1,2,2,1,889,0,0,889,0.0,0.0,1,0,3,1,2,6,1,0,0,1,1984.0,2,2,484,2,2,2,0,0,0,0,0,0,0,0,0,0,4,2008,1,1
2149,907260050,60,1,70.0,8749,1,0,2,1,1,2,1,20,1,1,1,2,7,5,2003,2003,2,1,2,2,2,0.0,4,2,2,4,2,2,4,654.0,2,0.0,325.0,979.0,1,1,2,1,992,940,0,1932,1.0,0.0,2,1,3,1,4,7,1,1,4,1,2003.0,3,2,610,2,2,2,0,120,0,0,0,0,0,0,0,0,6,2007,1,1
2413,528218080,60,1,65.0,10237,1,0,2,1,1,2,1,2,6,1,1,2,7,5,2006,2006,2,1,2,2,2,0.0,4,2,2,4,2,2,2,0.0,2,0.0,738.0,738.0,1,1,2,1,738,754,0,1492,0.0,0.0,2,1,3,1,4,8,1,0,0,1,2006.0,1,2,440,2,2,2,0,32,0,0,0,0,0,0,0,0,9,2006,2,2
756,903458170,30,3,52.0,6240,1,2,2,1,1,2,1,16,1,1,1,3,4,5,1925,1950,2,1,8,8,2,0.0,2,2,1,2,2,2,3,152.0,2,0.0,628.0,780.0,1,2,2,2,848,0,360,1208,0.0,0.0,1,0,2,1,2,5,1,0,0,4,1962.0,2,2,539,2,2,2,0,23,112,0,0,0,0,0,0,0,1,2009,1,1
1652,527328020,80,1,0.0,10395,1,0,1,1,1,4,1,4,1,1,1,5,6,6,1978,1978,2,1,6,6,3,233.0,2,2,1,4,2,4,6,605.0,2,0.0,427.0,1032.0,1,2,2,1,1032,0,0,1032,0.0,1.0,2,0,3,1,2,6,1,1,2,1,1978.0,2,2,564,2,2,2,0,0,0,0,0,0,0,1,2,500,7,2007,1,1
440,528120160,20,1,76.0,9591,1,0,2,1,1,2,1,7,1,1,1,1,8,5,2004,2005,1,1,2,2,3,262.0,4,2,2,1,2,4,4,1088.0,2,0.0,625.0,1713.0,1,1,2,1,1713,0,0,1713,1.0,0.0,2,0,3,1,1,7,1,1,4,1,2004.0,1,3,856,2,2,2,0,26,0,0,170,0,0,0,0,0,1,2009,1,1
276,908102130,90,1,75.0,9825,1,0,2,1,1,2,1,19,1,1,4,1,5,5,1965,1965,1,1,15,15,2,0.0,2,2,1,0,0,0,0,0.0,0,0.0,0.0,0.0,1,2,3,1,1664,0,0,1664,0.0,0.0,2,0,4,2,2,8,1,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2010,1,1
2216,909276210,50,1,110.0,7810,1,0,1,2,1,2,1,21,1,1,1,3,4,6,1930,2003,2,1,11,5,2,0.0,2,4,4,2,4,2,4,189.0,2,0.0,741.0,930.0,1,1,2,1,1230,525,0,1755,0.0,0.0,2,0,4,1,4,7,1,1,2,4,1930.0,2,1,231,3,2,2,0,40,0,0,0,0,0,0,0,0,11,2007,1,1
1556,911102170,70,5,50.0,8500,1,1,2,1,1,2,1,16,2,1,1,2,4,4,1920,1950,4,1,3,3,2,0.0,2,3,4,2,2,2,2,0.0,2,0.0,649.0,649.0,1,2,3,1,649,668,0,1317,0.0,0.0,1,0,3,1,2,6,1,0,0,4,1920.0,2,1,250,2,3,3,0,54,172,0,0,0,0,1,0,0,7,2008,1,1
951,914475010,85,1,75.0,9750,1,0,2,1,1,2,1,23,1,1,1,4,6,6,1977,1977,2,1,1,1,2,0.0,2,2,1,2,2,4,6,767.0,2,0.0,135.0,902.0,1,1,2,1,926,0,0,926,1.0,0.0,1,0,2,1,2,5,1,1,2,1,1977.0,2,1,351,2,2,2,319,0,0,0,0,0,0,1,0,0,4,2009,1,1
2684,903235020,30,3,50.0,6000,1,0,2,1,1,2,1,14,1,1,1,1,5,7,1921,1950,2,1,3,7,2,0.0,2,2,1,2,2,2,2,616.0,2,0.0,0.0,616.0,1,4,2,1,616,0,0,616,0.0,0.0,1,0,2,1,2,4,1,0,0,4,1921.0,2,1,205,2,2,2,0,0,129,0,0,0,0,0,0,0,6,2006,1,1
