Order,PID,MS.SubClass,MS.Zoning,Lot.Frontage,Lot.Area,Street,Alley,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,BsmtFin.Type.2,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Gr.Liv.Area,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Fireplace.Qu,Garage.Type,Garage.Yr.Blt,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Pool.QC,Fence,Misc.Feature,Misc.Val,Mo.Sold,Yr.Sold,Sale.Type,Sale.Condition,SalePrice
1,526301100,20,1,141.0,31770,1,0,1,1,1,1,1,1,1,1,1,1,6,5,1960,1960,1,1,1,1,1,112.0,1,1,1,1,1,1,1,639,1,0,441,1080,1,1,1,1,1656,0,0,1656,1,0,1,0,3,1,1,7,1,2,1,1,1960.0,1,2.0,528.0,1,1,1,210,62,0,0,0,0,0,0,0,0,5,2010,1,1,215000
2,526350040,20,2,80.0,11622,1,0,2,1,1,2,1,1,2,1,1,1,5,6,1961,1961,2,1,2,2,2,0.0,1,1,1,1,2,2,2,468,2,144,270,882,1,2,1,1,896,0,0,896,0,0,1,0,2,1,1,5,1,0,0,1,1961.0,2,1.0,730.0,1,1,2,140,0,0,0,120,0,0,1,0,0,6,2010,1,1,105000
3,526351010,20,1,81.0,14267,1,0,1,1,1,1,1,1,1,1,1,1,6,6,1958,1958,1,1,3,3,3,108.0,1,1,1,1,2,2,3,923,1,0,406,1329,1,2,1,1,1329,0,0,1329,0,0,1,1,3,1,2,6,1,0,0,1,1958.0,2,1.0,312.0,1,1,2,393,36,0,0,0,0,0,0,1,12500,6,2010,1,1,172000
4,526353030,20,1,93.0,11160,1,0,2,1,1,1,1,1,1,1,1,1,7,5,1968,1968,1,1,1,4,2,0.0,2,1,1,1,2,2,3,1065,1,0,1045,2110,1,3,1,1,2110,0,0,2110,1,0,2,1,3,1,3,8,1,2,2,1,1968.0,1,2.0,522.0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,2010,1,1,244000
5,527105010,60,1,74.0,13830,1,0,1,1,1,2,1,2,1,1,1,2,5,5,1997,1998,2,1,2,2,2,0.0,1,1,2,2,2,2,4,791,1,0,137,928,1,4,1,1,928,701,0,1629,0,0,2,1,3,1,1,6,1,1,2,1,1997.0,1,2.0,482.0,1,1,2,212,34,0,0,0,0,0,1,0,0,3,2010,1,1,189900
7,527127150,120,1,41.0,4920,1,0,2,1,1,2,1,3,1,1,2,1,8,5,2001,2001,2,1,4,5,2,0.0,2,1,2,2,2,3,4,616,1,0,722,1338,1,3,1,1,1338,0,0,1338,1,0,2,0,2,1,2,6,1,0,0,1,2001.0,1,2.0,582.0,1,1,2,0,0,170,0,0,0,0,0,0,0,4,2010,1,1,213500
10,527162130,60,1,60.0,7500,1,0,2,1,1,2,1,2,1,1,1,2,7,5,1999,1999,2,1,2,2,2,0.0,1,1,2,1,2,2,5,0,1,0,994,994,1,4,1,1,1028,776,0,1804,0,0,2,1,3,1,2,7,1,1,2,1,1999.0,1,2.0,442.0,1,1,2,140,60,0,0,0,0,0,0,0,0,6,2010,1,1,189000
13,527166040,60,1,63.0,8402,1,0,1,1,1,2,1,2,1,1,1,2,6,5,1998,1998,2,1,2,2,2,0.0,1,1,2,2,2,2,5,0,1,0,789,789,1,4,1,1,789,676,0,1465,0,0,2,1,3,1,1,7,1,1,1,1,1998.0,1,2.0,393.0,1,1,2,0,75,0,0,0,0,0,0,0,0,5,2010,1,1,180400
14,527180040,20,1,85.0,10176,1,0,2,1,1,2,1,2,1,1,1,1,7,5,1990,1990,2,1,5,6,2,0.0,1,1,2,2,2,1,4,637,1,0,663,1300,1,4,1,1,1341,0,0,1341,1,0,1,1,2,1,2,5,1,1,3,1,1990.0,2,2.0,506.0,1,1,2,192,0,0,0,0,0,0,0,0,0,2,2010,1,1,171500
15,527182190,120,1,0.0,6820,1,0,1,1,1,1,1,3,1,1,2,1,8,5,1985,1985,2,1,5,6,2,0.0,2,1,2,2,2,4,4,368,3,1120,0,1488,1,2,1,1,1502,0,0,1502,1,0,1,1,1,1,2,4,1,0,0,1,1985.0,3,2.0,528.0,1,1,2,0,54,0,0,140,0,0,0,0,0,6,2010,1,1,212000
