Ticker,Rating Date,Fiscal Year,RTG_SP_LT_LC_ISSUER_CREDIT,COUNTRY,GICS_INDUSTRY_NAME,BS_TOT_ASSET,SALES_REV_TURN,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_COM_EQY,GROSS_MARGIN,ADJ_SG&A_TO_SALES,EBITDA_MARGIN,EBIT_MARGIN,OPER_INC_TO_NET_SALES,PROF_MARGIN,NORMALIZED_PROFIT_MARGIN,FREE_CASH_FLOW_MARGIN,ASSET_TURNOVER,NET_FIX_ASSET_TURN,ACCT_RCV_TURN,INVENT_TURN,CUR_RATIO,QUICK_RATIO,CASH_RATIO,ACCT_RCV_DAYS,INVENT_DAYS,ACCOUNTS_PAYABLE_TURNOVER_DAYS,CASH_CONVERSION_CYCLE,TOT_DEBT_TO_TOT_EQY,TOT_DEBT_TO_TOT_CAP,LT_DEBT_TO_COM_EQY,LT_DEBT_TO_TOT_CAP,NON_CUR_LIAB_TO_TOT_ASSET,EBIT_TO_INT_EXP,EBITDA_TO_TOT_INT_EXP,EBITDA_LES_CAP_EXPEND_TO_INT_EXPP,TOT_DEBT_TO_EBITDA,NET_DEBT_TO_EBITDA
ZPG LN Equity,31/12/2017,-0FY,NA,GB,Internet Software & Services,615.94,244.54,75.13,-171.42,168.29,7.57,10.47,19.58,NA,NA,29.46,21.96,21.96,15.30,21.31,30.23,0.49,37.70,20.47,NA,1.60,1.27,1.06,17.83,NA,NA,NA,111.22,52.66,111.22,52.66,49.46,9.48,12.72,12.51,3.70,2.66
000157 CH Equity,31/12/2017,-0FY,B,CH,Machinery,89101.00,20023.00,636.00,-771.00,-4777.00,-1.02,0.43,-2.42,23.86,NA,4.17,-0.75,-0.75,-4.64,-6.94,1.75,0.22,1.89,0.49,1.14,2.45,1.78,0.24,740.50,322.34,170.19,892.65,86.87,46.49,62.78,32.72,27.46,-0.09,0.52,0.34,39.28,31.40
ZTS US Equity,31/12/2017,-0FY,BBB,US,Pharmaceuticals,8586.00,5307.00,1346.00,-270.00,-239.00,10.64,15.13,53.05,66.55,24.97,36.71,32.15,32.15,16.28,26.47,21.14,0.65,3.77,5.55,1.21,3.85,2.34,1.43,65.72,301.15,56.47,310.40,277.32,73.50,279.83,73.50,66.46,9.75,10.88,9.63,2.54,1.74
ZION US Equity,31/12/2017,-0FY,BBB-,US,Banks,66288.00,2736.00,928.00,-3919.00,2802.00,0.91,5.34,7.84,NA,NA,NA,NA,34.21,22.69,23.46,29.09,0.04,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.54,41.36,6.20,3.37,NA,NA,NA,NA,NA,NA
ZBH US Equity,31/12/2017,-0FY,BBB,US,Health Care Equipment & Suppli,25964.50,7824.10,1582.30,-510.80,-1181.20,6.89,9.47,16.95,72.74,38.01,23.91,10.33,10.33,23.18,14.53,13.92,0.30,3.84,5.05,1.06,1.50,0.67,0.17,72.29,345.78,56.22,361.85,86.43,46.36,75.99,40.76,43.17,2.47,5.71,4.21,5.42,5.14
ZENITHBA NL Equity,31/12/2017,-0FY,B,NG,Banks,4739825.00,507997.00,-123610.00,-327102.00,468397.00,2.96,9.56,19.96,NA,NA,NA,NA,30.86,35.60,35.55,-41.54,0.12,5.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.91,52.13,109.06,52.13,NA,NA,NA,NA,NA,NA
ZBRA US Equity,31/12/2017,-0FY,BB-,US,"Electronic Equipment, Instrume",4275.00,3722.00,478.00,-51.00,-521.00,0.38,1.87,2.09,45.94,NA,15.72,8.65,8.65,0.46,4.70,11.50,0.84,13.39,6.74,5.01,1.06,0.54,0.06,54.13,72.84,68.36,58.61,267.03,72.75,260.91,71.09,57.10,1.42,2.58,2.36,3.81,3.70
ZVTG SV Equity,31/12/2017,-0FY,A,SV,Insurance,3574.89,1013.38,104.14,-29.68,-56.68,2.32,11.18,11.48,NA,NA,NA,NA,9.52,8.09,7.64,8.98,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,2.89,3.02,2.89,NA,NA,NA,NA,NA,NA
ZAPK RU Equity,31/12/2017,-0FY,B+,RU,NA,116828.48,15383.14,3242.71,-6658.99,9995.25,1.27,9.24,9.76,NA,NA,NA,NA,11.35,17.25,17.34,39.28,0.14,5.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.48,6.09,3.38,3.17,NA,NA,NA,NA,NA,NA
ZABARA CZ Equity,31/12/2017,-0FY,BB,HR,Banks,126892.80,7488.37,618.72,4350.37,55.54,0.82,3.71,5.66,NA,NA,NA,NA,16.61,18.79,18.10,NA,0.06,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.83,26.38,12.80,9.41,NA,NA,NA,NA,NA,NA
