"","x"
"1","Standing"
"2","Standing"
"3","Standing"
"4","Standing"
"5","Standing"
"6","Standing"
"7","Standing"
"8","Standing"
"9","Standing"
"10","Standing"
"11","Standing"
"12","Standing"
"13","Standing"
"14","Standing"
"15","Standing"
"16","Standing"
"17","Standing"
"18","Standing"
"19","Standing"
"20","Standing"
"21","Standing"
"22","Standing"
"23","Standing"
"24","Standing"
"25","Standing"
"26","Standing"
"27","Standing"
"28","Sitting"
"29","Sitting"
"30","Sitting"
"31","Sitting"
"32","Sitting"
"33","Sitting"
"34","Sitting"
"35","Sitting"
"36","Sitting"
"37","Sitting"
"38","Sitting"
"39","Sitting"
"40","Sitting"
"41","Sitting"
"42","Sitting"
"43","Sitting"
"44","Sitting"
"45","Sitting"
"46","Sitting"
"47","Sitting"
"48","Sitting"
"49","Sitting"
"50","Sitting"
"51","Sitting"
"52","Laying"
"53","Laying"
"54","Laying"
"55","Laying"
"56","Laying"
"57","Laying"
"58","Laying"
"59","Laying"
"60","Laying"
"61","Laying"
"62","Laying"
"63","Laying"
"64","Laying"
"65","Laying"
"66","Laying"
"67","Laying"
"68","Laying"
"69","Laying"
"70","Laying"
"71","Laying"
"72","Laying"
"73","Laying"
"74","Laying"
"75","Laying"
"76","Laying"
"77","Laying"
"78","Laying"
"79","Walking"
"80","Walking"
"81","Walking"
"82","Walking"
"83","Walking"
"84","Walking"
"85","Walking"
"86","Walking"
"87","Walking"
"88","Walking"
"89","Walking"
"90","Walking"
"91","Walking"
"92","Walking"
"93","Walking"
"94","Walking"
"95","Walking"
"96","Walking"
"97","Walking"
"98","Walking"
"99","Walking"
"100","Walking"
"101","Walking"
"102","Walking"
"103","Walking"
"104","Walking"
"105","Walking"
"106","Walking"
"107","Walking"
"108","Walking"
"109","Walking"
"110","Walking"
"111","Walking"
"112","Walking"
"113","Walking"
"114","Walking"
"115","Walking"
"116","Walking"
"117","Walking"
"118","Walking"
"119","Walking"
"120","Walking"
"121","Walking"
"122","Walking"
"123","Walking"
"124","Walking"
"125","Walking"
"126","WalkingDownstairs"
"127","WalkingDownstairs"
"128","WalkingDownstairs"
"129","WalkingDownstairs"
"130","WalkingDownstairs"
"131","WalkingDownstairs"
"132","WalkingDownstairs"
"133","WalkingDownstairs"
"134","WalkingDownstairs"
"135","WalkingDownstairs"
"136","WalkingDownstairs"
"137","WalkingDownstairs"
"138","WalkingDownstairs"
"139","WalkingDownstairs"
"140","WalkingDownstairs"
"141","WalkingDownstairs"
"142","WalkingDownstairs"
"143","WalkingDownstairs"
"144","WalkingDownstairs"
"145","WalkingDownstairs"
"146","WalkingDownstairs"
"147","WalkingDownstairs"
"148","WalkingDownstairs"
"149","WalkingDownstairs"
"150","WalkingDownstairs"
"151","WalkingUpstairs"
"152","WalkingUpstairs"
"153","WalkingUpstairs"
"154","WalkingUpstairs"
"155","WalkingUpstairs"
"156","WalkingUpstairs"
"157","WalkingUpstairs"
"158","WalkingUpstairs"
"159","WalkingUpstairs"
"160","WalkingUpstairs"
"161","WalkingUpstairs"
"162","WalkingUpstairs"
"163","WalkingUpstairs"
"164","WalkingUpstairs"
"165","WalkingUpstairs"
"166","WalkingUpstairs"
"167","WalkingUpstairs"
"168","WalkingUpstairs"
"169","WalkingUpstairs"
"170","WalkingUpstairs"
"171","WalkingUpstairs"
"172","WalkingUpstairs"
"173","WalkingUpstairs"
"174","WalkingUpstairs"
"175","WalkingUpstairs"
"176","WalkingUpstairs"
"177","Standing"
"178","Standing"
"179","Standing"
"180","Standing"
"181","Standing"
"182","Standing"
"183","Standing"
"184","Standing"
"185","Standing"
"186","Standing"
"187","Standing"
"188","Standing"
"189","Standing"
"190","Standing"
"191","Standing"
"192","Standing"
"193","Standing"
"194","Standing"
"195","Standing"
"196","Standing"
"197","Standing"
"198","Standing"
"199","Standing"
"200","Standing"
"201","Standing"
"202","Standing"
"203","Sitting"
"204","Sitting"
"205","Sitting"
"206","Sitting"
"207","Sitting"
"208","Sitting"
"209","Sitting"
"210","Sitting"
"211","Sitting"
"212","Sitting"
"213","Sitting"
"214","Laying"
"215","Laying"
"216","Laying"
"217","Laying"
"218","Laying"
"219","Laying"
"220","Laying"
"221","Laying"
"222","Laying"
"223","Laying"
"224","Laying"
"225","Laying"
"226","Sitting"
"227","Sitting"
"228","Sitting"
"229","Sitting"
"230","Sitting"
"231","Sitting"
"232","Sitting"
"233","Sitting"
"234","Sitting"
"235","Sitting"
"236","Sitting"
"237","Sitting"
"238","Laying"
"239","Laying"
"240","Laying"
"241","Laying"
"242","Laying"
"243","Laying"
"244","Laying"
"245","Laying"
"246","Laying"
"247","Laying"
"248","Laying"
"249","Walking"
"250","Walking"
"251","Walking"
"252","Walking"
"253","Walking"
"254","Walking"
"255","Walking"
"256","Walking"
"257","Walking"
"258","Walking"
"259","Walking"
"260","Walking"
"261","Walking"
"262","Walking"
"263","Walking"
"264","Walking"
"265","Walking"
"266","Walking"
"267","Walking"
"268","Walking"
"269","Walking"
"270","Walking"
"271","Walking"
"272","Walking"
"273","Walking"
"274","Walking"
"275","Walking"
"276","Walking"
"277","Walking"
"278","Walking"
"279","Walking"
"280","Walking"
"281","Walking"
"282","Walking"
"283","Walking"
"284","Walking"
"285","Walking"
"286","Walking"
"287","Walking"
"288","Walking"
"289","Walking"
"290","Walking"
"291","Walking"
"292","Walking"
"293","Walking"
"294","Walking"
"295","Walking"
"296","Walking"
"297","WalkingDownstairs"
"298","WalkingDownstairs"
"299","WalkingDownstairs"
"300","WalkingDownstairs"
"301","WalkingDownstairs"
"302","WalkingDownstairs"
"303","WalkingDownstairs"
"304","WalkingUpstairs"
"305","WalkingUpstairs"
